date,premise_code,item_code,price
2-Jun-22,17638,1558,5.49
2-Jun-22,17741,1,8.9
2-Jun-22,17741,69,9.9
2-Jun-22,17741,1558,8.5
2-Jun-22,17771,1,8.79
2-Jun-22,17771,69,9.99
2-Jun-22,17771,1558,7.9
2-Jun-22,17777,1,8.9
2-Jun-22,17786,1,8.9
2-Jun-22,17786,1558,8
2-Jun-22,17796,1,8.9
2-Jun-22,17796,69,8.99
2-Jun-22,17796,1558,7.9
2-Jun-22,17798,69,15
2-Jun-22,17798,1111,11.7
2-Jun-22,17798,1556,5.85
2-Jun-22,17798,1558,3.99
2-Jun-22,17892,1,8.89
2-Jun-22,17892,69,10.99
2-Jun-22,17892,1111,11.7
2-Jun-22,17892,1556,8.99
2-Jun-22,17892,1558,9.99
2-Jun-22,18343,1111,11.7
2-Jun-22,18343,1558,9.69
2-Jun-22,18541,1,8.9
2-Jun-22,18541,1111,11.7
2-Jun-22,18541,1558,6
2-Jun-22,18542,1558,7.99
2-Jun-22,18556,1,8.9
2-Jun-22,18556,1558,5.9
2-Jun-22,18670,1,8.89
2-Jun-22,18670,1111,11.7
2-Jun-22,18670,1558,9.99
2-Jun-22,20731,1,8.9
2-Jun-22,20731,55,13.99
2-Jun-22,20825,1,8.9
2-Jun-22,20825,1111,11.7
2-Jun-22,20825,1558,8
2-Jun-22,20826,69,10
2-Jun-22,20826,1111,11.6
2-Jun-22,20826,1558,8
2-Jun-22,20827,1,8.9
3-Jun-22,351,69,10.99
3-Jun-22,351,1111,11.7
3-Jun-22,351,1556,4.99
3-Jun-22,351,1558,7.99
3-Jun-22,368,1111,11.7
3-Jun-22,368,1556,7.9
3-Jun-22,368,1558,9.9
3-Jun-22,382,1,8.9
3-Jun-22,382,69,14
3-Jun-22,382,1558,4.5
3-Jun-22,394,1,8.9
3-Jun-22,394,1556,8.99
3-Jun-22,394,1558,5.99
3-Jun-22,398,1558,7.99
3-Jun-22,438,1,8.9
3-Jun-22,438,1556,6.9
3-Jun-22,438,1558,4.99
3-Jun-22,439,1,8.9
3-Jun-22,439,1558,3.99
